G1/S,G2/M,stemness,AC,OC
 MCM5,  HMGB2,SOX4, APOE,    OLIG1
    PCNA,    CDK1,    CCND2,    SPARCL1,    SNX22
    TYMS,    NUSAP1,    SOX11,    ALDOC,    GPR17
    FEN1,    UBE2C,    RBM6,    CLU,    DLL3
    MCM2,    BIRC5,    HNRNPH1,    EZR,    SOX8
    MCM4,    TPX2,    HNRNPL,    SORL1,    NEU4
    RRM1,    TOP2A,    PTMA,    MLC1,    SLC1A1
    UNG,    NDC80,    TRA2A,    ABCA1,    LIMA1
    GINS2,    CKS2,    SET,    ATP1B2,    ATCAY
    MCM6,    NUF2,    C6orf62,    RGMA,    SERINC5
    CDCA7,    CKS1B,    PTPRS,    AGT,    LHFPL3
    DTL,    MKI67,    CHD7,    EEPD1,    SIRT2
    PRIM1,    TMPO,    CD24,    CST3,    OMG
    UHRF1,    CENPF,    H3F3B,    SOX9,    APOD
    MLF1IP,    TACC3,    C14orf23,    EDNRB,    MYT1
    HELLS,    FAM64A,    NFIB,    GABRB1,    OLIG2
    RFC2,    SMC4,    SRGAP2C,    PLTP,    RTKN
    RPA2,    CCNB2,    STMN2,    JUNB,    FA2H
    NASP,    CKAP2L,    SOX2,    DKK3,    MARCKSL1
    RAD51AP1,    CKAP2,    TFDP2,    ID4,    LIMS2
    GMNN,    AURKB,    CORO1C,    ADCYAP1R1,    PHLDB1
    WDR76,    BUB1,    EIF4B,    GLUL,    RAB33A
    SLBP,    KIF11,    FBLIM1,    PFKFB3,    OPCML
    CCNE2,    ANP32E,    SPDYE7P,    CPE,    SHISA4
    UBR7,    TUBB4B,    TCF4,    ZFP36L1,    TMEFF2
    POLD3,    GTSE1,    ORC6,    JUN,    NME1
    MSH2,    KIF20B,    SPDYE1,    SLC1A3,    NXPH1
    ATAD2,    HJURP,    NCRUPAR,    CDC42EP4,    GRIA4
    RAD51,    HJURP,    BAZ2B,    NTRK2,    SGK1
    RRM2,    CDCA3,    NELL2,    CBS,    ZDHHC9
    CDC45,    HN1,    OPHN1,    DOK5,    CSPG4
    CDC6,    CDC20,    SPHKAP,    FOS,    LRRN1
    EXO1,    TTK,    RAB42,    TRIL,    BIN1
    TIPIN,    CDC25C,    LOH12CR2,    SLC1A2,    EBP
    DSCC1,    KIF2C,    ASCL1,    ATP13A4,    CNP
    BLM,    RANGAP1,    BOC,    ID1,
    CASP8AP2,    NCAPD2,    ZBTB8A,    TPCN1,
    USP1,    DLGAP5,    ZNF793,    FOSB,
    CLSPN,    CDCA2,    TOX3,    LIX1,
    POLA1,    CDCA8,  EGFR,    IL33,
    CHAF1B,    ECT2,    PGM5P2,    TIMP3,
    BRIP1,    KIF23,    EEF1A1,    NHSL1,
    E2F8,    HMMR,    MALAT1,    ZFP36L2,
,    AURKA,    TATDN3,    DTNA,
,    PSRC1,    CCL5,    ARHGEF26,
,    ANLN,    EVI2A,    TBC1D10A,
,    LBR,    LYZ,    LHFP,
,    CKAP5,    POU5F1,    NOG,
,    CENPE,    FBXO27,    LCAT,
,    CTCF,    CAMK2N1,    LRIG1,
,    NEK2,NEK5,    GATSL3,
,    G2E3,    PABPC1,    ACSL6,
,    GAS2L3,    AFMID,    HEPACAM,
,    CBX5,    QPCTL,    SCG3,
,    CENPA,    MBOAT1,    RFX4,
,,    HAPLN1,    NDRG2,
,,    LOC90834,    HSPB8,
,,    LRTOMT,    ATF3,
,,    GATM-AS1,    PON2,
,,    AZGP1,    ZFP36,
,,    RAMP2-AS1,    PER1,
,,    SPDYE5,    BTG2,
,,    TNFAIP8L1,    NRP1,
,,,    PRRT2,
,,,    F3,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,